"","wordlist","neg.avg","neg.sd","RT","RT.sd","avg.cor","avg.inc","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"423","PISS",0.99009900990099,0.0995037190209989,787.190447834995,288.268587883324,0,1,"4","6979","8.85","3","1","1","672.81","0.94","619.93","1","9080","2.73","1.61","22","4.74","2.99","23","5.63","2.52","19","4.12","1.55","8","2","1","13","5.25","2.92","8","4.43","3.2","14","6.86","2.27","7","4.64","2.38","11","2.75","1.91","8","2.85","1.46","13","3.44","2.55","9","5.57","3.03","14","4.71","2.21","7","6.17","2.62","12","3.09","1.87","11","2.36","1.29","11","3.22","3.07","9","5.71","2.58","14","5.94","2.57","16","4","1.73","3","NEG"
"452","RABBIT",0.0396039603960396,0.195999595877539,828.188215333888,285.543210725977,0,1,"6","5751","8.66","5","2","1","589.67","1","556.11","1","9784","7.21","1.69","19","3.98","2.44","42","5.95","2.24","22","5.67","2.08","3","7.5","1.51","16","4.15","2.5","20","3.82","2.44","22","5.36","2.2","11","6.55","2.21","11","6.89","1.69","9","7.5","1.72","10","3.81","2.74","16","4.08","2.3","26","5.92","2.5","13","6","1.94","9","7.86","1.35","7","6.83","1.8","12","3.36","2.23","25","4.88","2.52","17","6.29","2.43","14","5.38","1.85","8","POS"
"481","ROTTEN",1,0,731.784003883042,234.736872679213,0,1,"6","2386","7.78","4","2","2","647.42","0.97","581.19","1","10497","2.43","1.5","23","4.9","2.24","40","3.37","2.07","43","2","1.07","8","2.67","1.68","15","4.21","2.42","14","5.27","2.09","26","3.5","2.1","14","3.31","2.09","29","2.42","1.98","12","2.45","0.82","11","4.94","1.56","17","4.87","2.67","23","3.57","2.37","23","3.15","1.69","20","2.09","1.22","11","2.75","1.71","12","4.58","2.27","19","5.19","2.23","21","3.17","2.35","23","3.6","1.73","20","NEG"
"506","SLAVE",0.990196078431373,0.0990147542976674,726.177843532062,185.804996883629,0,1,"5","13149","9.48","4","1","1","608.25","0.94","650.11","1","11281","2.06","1.92","18","4.53","2.68","45","2.61","2.5","61","2.75","2.6","8","1.5","0.97","10","5.29","2.49","17","3.96","2.72","27","2.52","2.25","31","2.7","2.77","30","3","2.71","7","1.45","0.93","11","4.81","2.68","21","4.29","2.73","24","2.67","2.46","36","2.52","2.6","25","2.5","2.46","10","1.5","0.76","8","4.59","2.75","29","4.44","2.66","16","3.45","2.85","31","1.73","1.72","30","NEG"
"522","SPINELESS",0.950980392156863,0.216975199586239,854.581714433744,282.950656854948,0,1,"9","402","6","7","2","2","735.27","0.97","669.14","1","11604","2.95","1.61","20","4.57","1.97","23","4.1","2.23","21","2.33","1.22","9","3.45","1.75","11","3.91","2.12","11","5.17","1.7","12","4.5","1.77","8","3.85","2.51","13","2.79","1.42","14","3.33","2.07","6","3.44","2.13","9","5.29","1.54","14","4.75","2.38","8","3.69","2.14","13","3.4","1.35","10","2.5","1.78","10","4.62","2.22","13","4.5","1.72","10","3.58","2.39","12","4.78","1.92","9","NEG"
"547","SUNSET",0.0099009900990099,0.0995037190209989,790.975943289107,302.144921457411,0,1,"6","3475","8.15","6","2","2","612.03","0.97","620.61","1","12082","7.46","1.5","39","4.68","2.73","44","5.32","2.98","25","7.6","1.24","15","7.38","1.66","24","4","2.03","17","5.11","3.04","27","3.88","2.53","8","6","3","17","7.09","1.7","23","8.13","0.83","15","5.14","2.67","21","4.26","2.77","23","4.36","2.98","14","6.55","2.62","11","7.05","1.67","20","7.89","1.2","19","4.6","2.94","25","4.79","2.49","19","5.06","3.23","18","6","2.31","7","POS"
"569","THINKER",0.00980392156862745,0.0990147542976674,808.71406694476,262.133413166874,0,1,"7","1007","6.91","5","2","2","568.34","0.97","582.48","1","12496","7.26","1.91","19","4.45","2.39","20","7.68","1.42","19","8.33","0.58","3","7.07","2.09","15","4.2","2.44","10","4.7","2.45","10","6.89","1.36","9","8.4","1.07","10","7","3.03","6","7.42","1.31","12","3.71","1.8","7","4.85","2.64","13","7.88","1.64","8","7.55","1.29","11","7.75","1.06","12","6.43","2.76","7","4","2.36","10","4.9","2.47","10","8.33","0.87","9","7.1","1.6","10","POS"
"580","TREASURED",0.00980392156862745,0.0990147542976674,767.616365307196,212.42015439668,0,1,"9","287","5.66","6","2","2","699.84","0.97","650.32","1","12783","7.14","1.53","21","5.16","2.71","19","7.05","1.65","19","6.67","1.63","6","7.33","1.5","15","6","2.45","8","4.55","2.84","11","7.1","1.6","10","7","1.8","9","7.33","1.37","6","7.07","1.62","15","5.9","2.6","10","4.33","2.74","9","7.08","1.73","12","7","1.63","7","6.86","1.68","7","7.29","1.49","14","5.46","2.99","13","4.5","2.07","6","6.6","1.58","10","7.56","1.67","9","POS"
"607","URINE",0.941176470588235,0.23645607097364,788.738037486461,244.120966710529,0,1,"5","3418","8.14","5","2","1","642.82","1","688.5","0.96","13263","2.9","1.8","20","4.38","2.28","42","4.55","2.4","22","3.44","2.24","9","2.45","1.29","11","4.38","2.47","16","4.32","2.23","25","4.5","1.58","10","4.58","3","12","3.43","2.51","7","2.67","1.37","12","4.05","2.44","21","4.65","2.16","20","4.27","2.45","11","4.82","2.44","11","3.08","2.18","13","2.57","0.79","7","4.13","2.65","23","4.68","1.77","19","3.36","2.25","11","5.73","2","11","NEG"
"608","USELESS",0.911764705882353,0.285037471098294,823.765779321556,227.457904828158,0,1,"7","13510","9.51","6","2","2","684.58","1","679.96","0.96","13270","2.8","1.44","40","4.39","2.42","41","4.65","2.7","20","2.54","1.39","13","3","1.44","26","4.68","2.75","19","4.14","2.17","21","4.9","2.77","10","4.4","2.76","10","2.93","1.44","15","2.79","1.44","24","4.29","2.72","21","4.5","2.12","20","3.62","1.85","8","5.33","3.03","12","3.2","1.44","20","2.4","1.35","20","4.22","2.58","27","4.71","2.13","14","4.44","2.65","9","4.82","2.86","11","NEG"
"610","VANDAL",0.96078431372549,0.195066306444553,777.723381549165,243.897327362583,0,1,"6","191","5.25","5","2","1","727.17","0.88","652.7","0.96","13314","2.32","1.38","19","4.84","2.6","44","3.25","2.11","24","2.78","1.64","9","1.9","0.99","10","4.35","2.64","17","5.15","2.57","27","3.38","1.92","8","3.19","2.26","16","2.71","1.5","7","2.08","1.31","12","4.64","2.68","14","4.93","2.6","30","3.24","2.14","17","3","2.28","6","2.8","1.48","10","1.78","1.09","9","4.58","2.89","26","5.22","2.13","18","3.06","1.88","16","3.62","2.62","8","NEG"
"629","WRECK",0.980392156862745,0.139333076031824,798.249949635613,339.484602573126,0,1,"5","2161","7.68","3","1","1","625.13","0.94","620.11","1","13840","1.62","0.74","21","4.65","3.1","20","4.27","2.75","22","2","0.89","6","1.47","0.64","15","4.5","3.12","8","4.75","3.22","12","3.92","2.91","12","4.7","2.63","10","1.67","0.87","9","1.58","0.67","12","5","3","9","4.36","3.29","11","4.57","1.9","7","4.13","3.11","15","1.6","0.84","10","1.64","0.67","11","4.69","3.2","13","4.57","3.15","7","4.75","3.17","12","3.7","2.16","10","NEG"
