Occurrences,Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
1,radical,7,30,"8,075",8.997,4.27,2.34,2.16,2.26,0,1,1,0,0,#,1.946,1.946,#,#,#,#,#,#,#,2.55,6.994,2.7,7.032,2.1,0.636,"5,923",1.789,11.9,#,4.36,5.27,5.21,24,18,98,67,"25,954","4,325.67","2,858","r""a.4I.k@l",7,3,{radic--al},"{r""a.4I.k--@l}",2,JJ|NN,738.067,-0.243,316.388,28,0.94,642.607,-0.527,160.61,#,1
1,retreat,7,14,"3,082",8.033,9.49,2.686,3.52,2.471,1,1,1,0,0,4.3,9.064,9.064,#,#,0,#,1,4.3,1.85,2.3,6.713,2.2,7.107,3.03,0.612,"4,206",1.902,10.53,2.609,4.92,4.12,4.68,35,24,128,79,"34,221","5,703.50","6,104","rI.tr""it",6,2,{retreat},"{rI.tr""it}",1,NN|VB,727.2,-0.344,282.603,25,0.94,620.64,-0.488,107.696,#,1
1,revolution,10,70,"13,497",9.51,12.33,2.799,3.85,2.51,2,2,2,2,2,8.2,8.209,8.209,8.209,8.209,1,10.1,1,6.3,1.16,2.35,6.497,2.45,6.54,2.87,0.655,"7,099",1.626,10,#,4.81,5.68,5.23,122,50,344,142,"37,247","4,138.56","6,232","r%E.v@.l""u.Sn=",8,4,{re--volution},"{r%E-.-v@.l""u.Sn=}",2,NN,679.364,-0.376,212.392,29,0.97,652.207,-0.256,238.033,#,1
1,rotten,6,2,"2,386",7.777,17.47,2.95,7.75,2.814,4,4,4,1,1,6.1,8.908,8.908,10.26,10.26,1,10.3,3,4.7,1.28,1.95,6.759,1.85,7.666,3.87,0.522,0,1.674,6.95,2.731,2.43,4.9,3.37,149,43,377,132,"23,530","4,706.00","3,933","r""At.n=",4,2,{rot}>en>,"{r""At}.>n=>",2,JJ,647.419,-0.435,148.31,27,0.97,581.185,-0.529,110.902,#,1
1,rush,4,20,"27,949",10.238,31.41,3.205,14.68,3.091,13,17,17,7,7,7.4,7.119,7.119,6.918,6.918,0,#,13,7.4,1.39,1.25,7.729,1.05,7.664,2.9,0.629,"5,829",1.902,6.7,2.25,4.05,6.55,6.79,133,54,370,168,"7,095","2,365.00","1,233","r""VS",3,1,{rush},"{r""VS}",1,NN|VB,628.167,-0.722,298.697,27,0.97,550.148,-0.754,102.87,#,1
1,shake,5,17,"5,292",8.574,39.63,3.306,15.45,3.113,12,28,28,5,5,7.5,7.482,7.482,8.106,8.106,4,9.8,8,6.4,1.14,1.25,7.991,1,8.249,4.07,0.561,333,1.879,5.26,3.519,4.59,5.2,6.37,359,78,834,205,"7,660","1,915.00","2,303","S""ek",3,1,{shake},"{S""ek}",1,VB|NN,556.118,-0.824,128.065,27,0.97,639.519,-0.386,122.806,#,1
1,misfire,7,#,191,5.252,0.41,1.342,0.19,1.23,0,0,0,0,0,#,#,#,#,#,#,#,#,#,#,2.65,6.16,2.65,5.79,3.31,0.228,0,#,11,#,2.63,4.64,3,2,2,3,3,"19,940","3,323.33","3,726","mIs.f""aIr",6,2,<mis<{fire},"<mIs<.{f""aIr}",2,VB,756.571,-0.057,277.788,26,0.9,706.269,-0.243,187.194,#,1
1,slave,5,30,"13,149",9.484,18.43,2.974,5.94,2.698,7,11,11,4,4,5.9,5.172,5.172,5.285,5.285,0,#,7,5.9,1.6,1.5,7.812,1.5,7.534,4.38,0.623,"5,360",1.591,7.84,3.957,2.06,4.53,2.61,178,72,425,162,"9,642","2,410.50","2,262","sl""ev",4,1,{slave},"{sl""ev}",1,NN|VB,608.25,-0.605,155.684,27,0.94,650.111,-0.297,138.934,#,1
1,snappy,6,1,886,6.787,2.94,2.179,1.57,2.124,1,5,5,1,1,4.6,6.154,6.154,4.605,4.605,0,#,1,4.6,1.47,2.05,6.721,1.7,6.176,2.65,0.277,0,1.72,9.05,#,5.55,5.05,5.68,15,12,46,33,"6,157","1,231.40","1,188","sn""ap.i",5,2,{snap}>y>,"{sn""ap}.>i>",2,JJ,603.909,-0.616,243.317,26,1,670.423,-0.26,88.664,#,1
1,spineless,9,2,402,5.996,0.86,1.653,0.5,1.633,0,0,0,0,0,#,#,#,#,#,#,#,#,#,#,2.9,5.048,2.65,5.962,2.25,0.216,0,#,11.05,#,2.95,4.57,4.1,6,5,23,16,"50,031","6,253.88","6,317","sp""aIn.l@s",7,2,{spine}>less>,"{sp""aIn}.>l@s>",2,JJ,735.273,-0.093,359.836,28,0.97,669.143,-0.142,103.225,#,1
