Word,Length,Freq_HAL,Log_Freq_HAL,NPhon,NSyll,NMorph,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
side,4,112408,11.63,3,1,1,665.82,0.97,620.07,0.96
sideboard,9,503,6.22,7,2,2,754.74,0.94,664.5,1
sided,5,1976,7.59,5,2,2,614.09,1,656.93,1
sidekick,8,1176,7.07,6,2,2,724.53,1,674.68,1
sideline,8,355,5.87,6,2,2,686.42,0.97,703.67,1
sidelines,9,538,6.29,7,2,3,664.03,0.94,685.7,1
sides,5,22750,10.03,4,1,2,614.41,1,656,1
side's,6,221,5.4,4,1,2,704.29,0.94,665.92,1
sideshow,8,379,5.94,5,2,2,746.15,0.97,691,0.96
sidewalk,8,1502,7.31,6,2,2,638.24,1,604.43,1
sidewalks,9,680,6.52,7,2,3,689.36,0.97,639.37,1
sideways,8,2048,7.62,6,2,3,674.39,0.97,649,1
siding,6,563,6.33,5,2,2,765.28,0.94,689.58,1
Sidney,6,1307,7.18,5,2,1,675.28,0.94,662.22,1
sierra,6,5887,8.68,5,3,1,764.88,0.97,686.31,0.96
sighs,5,578,6.36,3,1,2,634.34,0.97,639.22,0.96
sight,5,14322,9.57,3,1,1,556.44,1,630.79,1
sighted,7,832,6.72,5,2,2,758.33,0.94,668.43,1
sights,6,2292,7.74,4,1,2,642.77,1,617.7,0.96
sign,4,39389,10.58,3,1,1,624.48,1,618.64,1
signal,6,28245,10.25,5,2,2,598.97,0.97,674.52,1
signaled,8,331,5.8,6,2,3,763.97,0.91,685.39,0.97
signals,7,10984,9.3,6,2,3,664.47,0.94,633.62,0.96
signed,6,27435,10.22,4,1,2,736.3,1,636.12,0.96
signing,7,7274,8.89,5,2,2,647.17,0.97,703,1
signs,5,14885,9.61,4,1,2,669.87,0.94,611.39,1
silence,7,9662,9.18,6,2,2,594.88,0.97,688.61,1
silencer,8,275,5.62,7,3,3,779.68,0.91,705.38,1
silent,6,9257,9.13,6,2,2,658.21,1,665.64,1
silicon,7,11228,9.33,7,3,2,757.9,0.94,693.29,1
silk,4,3864,8.26,4,1,1,633.97,0.97,614.96,1
silky,5,1034,6.94,5,2,2,590,0.97,706.11,1
silly,5,21570,9.98,4,2,1,664.94,1,632.58,1
silver,6,24413,10.1,5,2,1,629.43,0.91,650.89,1
similar,7,103270,11.55,6,3,2,588.87,0.97,673.65,1
Simon,5,16021,9.68,5,2,1,714.28,0.97,661,1
Simon's,7,425,6.05,6,2,2,661,1,663.93,1
simple,6,84794,11.35,5,2,1,599.38,0.97,623.46,1
simpler,7,5128,8.54,6,2,2,678.94,0.97,672.37,1
simplify,8,1782,7.49,8,3,2,681.68,0.94,703.23,1
simply,6,102396,11.54,6,2,2,551.35,0.97,617.77,0.96
Simpson,7,6723,8.81,6,2,2,610.77,0.94,648.67,1
Simpson's,9,605,6.41,7,2,3,771.19,0.97,659.11,1
sin,3,17449,9.77,3,1,1,585.5,1,637.88,1
sinful,6,1041,6.95,5,2,2,633.56,0.97,665.89,1
sing,4,10917,9.3,3,1,1,596.66,1,673.11,1
singer,6,9407,9.15,4,2,2,644.3,1,659.65,1
singers,7,3361,8.12,5,2,3,651.31,0.97,659.07,1
singer's,8,257,5.55,5,2,3,686.59,1,666.62,0.96
single,6,94811,11.46,5,2,1,661.69,0.97,642.46,1
singled,7,693,6.54,6,2,2,672.39,0.97,693.29,1
singles,7,9841,9.19,6,2,2,628.5,0.97,703.63,0.96
sings,5,3143,8.05,4,1,2,619.61,0.91,699.64,0.96
singular,8,2062,7.63,8,3,2,779.83,0.91,672.56,0.96
sink,4,8579,9.06,4,1,1,541.94,0.97,634.31,1
sinking,7,1861,7.53,6,2,2,674.75,0.94,636.96,1
sinners,7,926,6.83,5,2,3,657.1,0.91,679.67,1
sins,4,5195,8.56,4,1,2,634.67,0.97,634.72,1
sinus,5,417,6.03,5,2,1,698.23,0.91,703.41,1
sip,3,906,6.81,3,1,1,722.44,1,642.52,1
siren,5,714,6.57,5,2,1,737.06,0.97,683.12,1
sirens,6,1032,6.94,6,2,2,725.38,0.97,699.38,0.96
sissy,5,517,6.25,4,2,1,771.42,0.97,609.38,1
sister,6,17160,9.75,5,2,1,584.88,1,596.68,1
sisters,7,9667,9.18,6,2,2,641.16,1,656.5,1
sister's,8,1662,7.42,6,2,2,684.65,1,642.93,1
sit,3,25658,10.15,3,1,1,550.47,0.94,631,1
site,4,148790,11.91,3,1,1,665.88,0.97,647,1
sites,5,83123,11.33,4,1,2,649.9,0.97,687.92,0.96
sits,4,5661,8.64,4,1,2,738.13,0.91,643.07,1
sitting,7,23789,10.08,5,2,2,649.97,1,642.81,1
situated,8,1910,7.55,8,4,3,785.38,0.97,691.22,1
situation,9,59523,10.99,7,4,3,682.26,1,653.81,1
six,3,43679,10.68,4,1,1,543.97,0.97,623.04,1
sixteen,7,1982,7.59,7,2,2,642.39,0.97,685.3,1
sixteenth,9,497,6.21,8,2,3,612.09,1,652.79,0.96
sixth,5,4468,8.4,5,1,2,613.45,0.97,673.44,1
sixty,5,1577,7.36,6,2,2,630.41,0.94,634.75,1
sizable,7,853,6.75,6,3,2,715.13,0.91,650.5,1
size,4,107005,11.58,3,1,1,534.21,1,630.29,1
sized,5,5139,8.54,4,1,2,724.33,0.91,647.48,1
sizes,5,11391,9.34,5,2,2,667.61,1,639.86,1
sizzle,6,211,5.35,4,2,1,677.21,1,641.52,0.96
skateboard,10,303,5.71,8,2,2,689.19,0.94,695.88,1
skater,6,1934,7.57,5,2,2,779.63,0.97,699.36,1
skates,6,6717,8.81,5,1,2,615.09,0.97,661.3,1
skating,7,8751,9.08,6,2,2,673.87,1,696.64,1
skeleton,8,2347,7.76,8,3,2,657.47,0.97,654.77,0.96
sketch,6,2053,7.63,4,1,1,676.12,0.97,683.76,1
sketches,8,1215,7.1,6,2,2,643.7,0.97,698.73,1
sketchy,7,738,6.6,5,2,2,762.03,0.97,695.75,1
skillet,7,654,6.48,6,2,1,727.47,0.94,683.96,1
skills,6,80670,11.3,5,1,2,582.59,0.97,673.04,1
skimmer,7,738,6.6,5,2,2,744.84,0.94,696.86,1
skimpy,6,539,6.29,6,2,2,728.61,1,705.63,1
skin,4,24973,10.13,4,1,1,640.97,1,680.96,1
skins,5,1937,7.57,5,1,2,580.48,0.94,653.3,1
skipped,7,1798,7.49,5,1,2,560.44,1,669.19,1
skipper,7,586,6.37,5,2,1,576.76,1,643.31,1
skipping,8,1484,7.3,6,2,2,642.06,0.97,639.63,1
skips,5,554,6.32,5,1,2,622.27,0.97,654.81,1
skirt,5,4928,8.5,4,1,1,649.84,0.94,680.26,1
skit,4,805,6.69,4,1,1,691.55,0.97,693.96,1
shadowing,9,443,6.09,6,3,2,708.21,1,616.85,0.96
shadows,7,12550,9.44,5,2,2,594.91,1,653.15,1
shady,5,785,6.67,4,2,2,772.85,1,656.78,1
shaft,5,6379,8.76,4,1,1,623.03,0.97,638.96,1
shafted,7,245,5.5,6,2,2,773.18,0.97,643.89,0.96
shafts,6,1164,7.06,5,1,2,624.12,0.97,678.38,0.96
shag,4,476,6.17,3,1,1,707.83,0.86,662.71,1
shaggy,6,582,6.37,4,2,2,646.63,0.97,632.54,1
shake,5,5292,8.57,3,1,1,556.12,0.97,639.52,1
shakedown,9,219,5.39,6,2,2,754.97,0.94,700.27,0.96
shaken,6,1208,7.1,5,2,2,604.81,0.94,615.14,1
shaker,6,434,6.07,4,2,2,654.17,0.94,651.44,1
shakers,7,248,5.51,5,2,3,758,0.97,701.23,1
shakes,6,1539,7.34,4,1,2,698.88,0.97,636.71,1
shaking,7,3435,8.14,5,2,2,636.41,0.94,609.46,1
shaky,5,1105,7.01,4,2,2,738.31,1,626.41,1
shallow,7,3761,8.23,4,2,1,593.47,1,642.26,1
shame,5,11304,9.33,3,1,1,654.48,0.94,629.46,1
shamed,6,221,5.4,4,1,2,759.16,0.97,617.32,1
share,5,57769,10.96,3,1,1,592.76,1,643.73,1
shameful,8,873,6.77,5,2,2,760.12,0.97,626.52,1
shameless,9,1149,7.05,6,2,2,678.76,1,679.64,0.96
shampoo,7,2336,7.76,5,2,1,589.27,0.97,631.15,1
Shannon,7,4491,8.41,5,2,1,786.18,0.94,703.22,1
shape,5,23161,10.05,3,1,1,604.94,0.97,616.93,1
shaped,6,5193,8.56,4,1,2,657.33,1,653.68,0.97
shapely,7,525,6.26,5,2,2,723.41,0.94,650.04,1
shapes,6,3197,8.07,4,1,2,600.48,1,669.52,1
shaping,7,1233,7.12,5,2,2,640.56,0.97,658.14,1
shared,6,18209,9.81,4,1,2,561.71,0.97,666.75,0.96
shares,6,9096,9.12,4,1,2,635.56,1,656.68,1
sharing,7,14243,9.56,5,2,2,719.53,1,658.42,0.96
shark,5,3255,8.09,4,1,1,614.72,0.97,616.93,1
sharks,6,2319,7.75,5,1,2,608.63,0.97,609.88,0.96
sharp,5,12847,9.46,4,1,1,618.56,1,589,1
sharpen,7,523,6.26,6,2,2,754.21,1,665.19,0.96
sharpened,9,451,6.11,7,2,3,616.27,0.91,700.11,1
sharpening,10,488,6.19,8,3,3,721.65,1,642.93,1
sharper,7,913,6.82,5,2,2,612.91,0.97,622.07,1
sharply,7,2032,7.62,6,2,2,649.67,1,636.22,1
sharpness,9,624,6.44,7,2,2,640.56,1,651.64,1
shatter,7,2382,7.78,4,2,1,658.28,0.94,622.7,1
shattered,9,2240,7.71,5,2,2,593.56,1,649.43,1
shatters,8,230,5.44,5,2,2,714.82,1,625.96,1
shave,5,1842,7.52,3,1,1,612.73,1,642.32,1
shaved,6,1574,7.36,4,1,2,656.47,1,614.82,1
shaven,6,418,6.04,4,2,2,712.55,0.97,672.19,1
shaver,6,276,5.62,4,2,2,708.65,1,667.56,0.96
shaving,7,1308,7.18,5,2,2,659.24,0.97,628.52,1
shavings,8,316,5.76,6,2,3,683.15,0.97,647.63,1
Shawn,5,8986,9.1,3,1,1,655.97,0.97,607.69,1
shear,5,905,6.81,3,1,1,641.6,0.91,679.08,0.96
shed,4,6227,8.74,3,1,1,630.32,0.97,638.14,1
shedding,8,878,6.78,5,2,2,691.09,1,692.45,1
sheds,5,800,6.68,4,1,2,732.1,0.91,699.26,1
sheep,5,7524,8.93,3,1,1,562.5,0.94,625.21,1
sheepish,8,226,5.42,5,2,2,668.6,0.91,677.96,0.96
sheer,5,5297,8.57,3,1,1,706.56,0.97,682.29,1
sheet,5,17017,9.74,3,1,1,617.06,1,637.3,1
sheets,6,8127,9,4,1,2,584.09,1,661.77,1
Sheila,6,2295,7.74,4,2,1,699.4,0.91,698.52,1
shelf,5,5669,8.64,4,1,1,648.73,0.97,624,1
shell,5,37174,10.52,3,1,1,605.91,0.97,627.12,1
she'll,6,4104,8.32,3,1,2,704.19,0.94,677.23,1
shelled,7,628,6.44,4,1,2,677.66,0.88,689.33,1
shells,6,6895,8.84,4,1,2,636.21,1,635.82,1
shelter,7,4384,8.39,5,2,1,663.42,0.94,633.68,1
sheltered,9,654,6.48,6,2,2,688.3,1,692.36,1
shelters,8,1520,7.33,6,2,2,648.71,0.94,668.93,1
shelved,7,367,5.91,5,1,2,768.23,0.97,679.5,1
shelves,7,3045,8.02,5,1,2,645.34,1,636.23,1
Shepard,7,877,6.78,5,2,1,733.72,0.97,679.48,0.96
shepherd,8,3608,8.19,5,2,1,714.7,0.91,678,1
shepherds,9,573,6.35,6,2,2,712.35,0.94,698.07,1
sheriff,7,1740,7.46,5,2,1,659.47,0.97,663.31,1
Sherlock,8,2231,7.71,5,2,2,760.48,1,685.79,0.97
she's,5,31313,10.35,3,1,2,629.91,1,671.09,1
shield,6,14024,9.55,4,1,1,586.06,0.91,701.52,1
shielded,8,1212,7.1,6,2,2,719.72,0.97,652.07,1
shields,7,5578,8.63,5,1,2,646.68,0.94,669,1
shift,5,15458,9.65,4,1,1,566.84,0.94,680.92,1
shifted,7,2865,7.96,6,2,2,632.65,0.97,664.27,0.96
shifting,8,3169,8.06,6,2,2,701.16,0.97,695.46,1
shine,5,3206,8.07,3,1,1,607.52,0.97,630,1
shining,7,3171,8.06,5,2,2,641.03,0.97,657.08,0.96
shiny,5,2739,7.92,4,2,2,741.13,0.94,654.07,1
ship,4,51299,10.85,3,1,1,558.3,1,645.22,1
shipment,8,3559,8.18,7,2,2,678.18,0.97,674.54,1
shipped,7,20015,9.9,4,1,2,671.15,1,671.46,1
shipper,7,632,6.45,4,2,2,679.94,0.97,654.93,0.96
shippers,8,237,5.47,5,2,3,738.33,0.97,684.93,1
shipping,8,78308,11.27,5,2,2,664.94,1,634.46,0.96
ships,5,17949,9.8,4,1,2,555.03,1,616.19,1
ship's,6,1552,7.35,4,1,2,640.21,1,657.31,0.96
shipwreck,9,211,5.35,6,2,2,667.39,0.97,700,1
shipyard,8,247,5.51,7,2,2,775.27,0.97,705.24,0.96
Shirley,7,2263,7.72,4,2,1,727.5,0.97,648,1
shirt,5,8155,9.01,3,1,1,594.53,1,646.7,0.96
shirts,6,3172,8.06,4,1,2,645.19,0.97,680,1
shiver,6,695,6.54,4,2,1,732.23,0.94,704.7,0.96
shock,5,11041,9.31,3,1,1,578.11,1,604.89,1
shocked,7,4967,8.51,4,1,2,591.68,1,626.89,1
shocker,7,353,5.87,4,2,2,621.47,1,682.04,0.96
shocking,8,1828,7.51,5,2,2,705.59,0.97,607.11,1
shocks,6,1729,7.46,4,1,2,642.44,1,611.65,1
shockwave,9,977,6.88,6,2,2,782.88,1,688.79,1
shoes,5,11573,9.36,3,1,2,574.5,1,691.2,1
shoot,5,23531,10.07,3,1,1,593.67,1,668.74,1
shooter,7,2389,7.78,4,2,2,628.06,1,653.85,1
shooters,8,1105,7.01,5,2,3,692.85,1,683.12,1
shooting,8,14908,9.61,5,2,2,580.33,0.97,666.27,1
shootings,9,674,6.51,6,2,3,645.25,0.97,662.79,0.96
shop,4,27995,10.24,3,1,1,610.5,1,572.96,1
shopkeeper,10,289,5.67,7,3,3,760.17,0.91,679.26,0.96
shopper,7,1861,7.53,4,2,2,585.87,0.97,612.7,1
