"Word","Length","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy"
"win","3","11.08","3","1","1","584.53","1.00","569.29","1.00"
"windows","7","12.34","6","2","2","612.19","1.00","631.12","1.00"
"wine","4","9.48","3","1","1","568.21","1.00","562.54","1.00"
"wing","4","9.63","3","1","1","677.61","0.97","605.96","1.00"
"wings","5","9.10","4","1","2","600.75","0.97","550.15","1.00"
"winner","6","9.38","4","2","2","587.55","0.97","587.61","1.00"
"winners","7","8.89","5","2","3","611.35","1.00","596.38","1.00"
"wins","4","9.36","4","1","2","603.78","0.97","583.63","1.00"
"Winston","7","8.36","7","2","2","735.09","0.94","634.46","1.00"
"winter","6","10.08","5","2","1","552.24","1.00","576.07","0.96"
"winters","7","7.29","6","2","2","770.24","1.00","599.15","1.00"
"wipe","4","8.36","3","1","1","665.62","1.00","579.43","1.00"
"wiped","5","8.04","4","1","2","605.21","1.00","579.36","1.00"
"wire","4","9.72","3","1","1","600.67","1.00","573.29","1.00"
"wired","5","8.32","4","1","2","604.83","1.00","597.00","1.00"
"wireless","8","8.78","6","2","2","598.09","1.00","633.28","1.00"
"wires","5","8.64","4","1","2","614.62","0.97","593.85","1.00"
"wiring","6","8.20","5","2","2","709.45","0.94","700.93","1.00"
"wisdom","6","9.44","6","2","2","645.06","1.00","599.08","1.00"
"wise","4","9.51","3","1","1","650.97","1.00","554.15","1.00"
"wisely","6","7.20","5","2","2","644.00","1.00","554.28","1.00"
"wiser","5","7.00","4","2","2","597.35","0.94","619.04","1.00"
"wished","6","8.32","4","1","2","583.45","0.97","642.81","1.00"
"wishes","6","9.58","5","2","2","559.79","0.97","566.35","1.00"
"wishful","7","7.31","5","2","2","685.17","0.97","632.07","1.00"
"wishing","7","8.57","5","2","2","645.39","0.97","585.04","1.00"
"witch","5","9.00","3","1","1","639.66","0.97","558.18","1.00"
"witchcraft","10","6.97","8","2","2","698.43","1.00","667.74","0.96"
"witches","7","8.26","5","2","2","609.56","0.97","601.04","1.00"
"withdraw","8","8.59","6","2","2","675.65","1.00","647.29","1.00"
"withdrawn","9","7.69","7","2","3","713.31","1.00","603.67","0.96"
"withheld","8","7.10","7","2","2","736.21","1.00","603.70","1.00"
"withhold","8","6.75","7","2","2","706.91","1.00","571.81","1.00"
"within","6","11.70","5","2","2","602.27","1.00","615.50","1.00"
"without","7","12.45","5","2","2","643.85","0.97","581.79","1.00"
"witness","7","9.02","6","2","1","694.65","1.00","596.93","1.00"
"witnesses","9","8.60","8","3","2","738.41","1.00","651.36","0.97"
"wives","5","8.13","4","1","2","636.30","1.00","562.41","1.00"
"wizard","6","9.42","5","2","1","607.03","1.00","564.79","1.00"
"wolf","4","9.98","4","1","1","581.50","0.94","564.86","1.00"
"wolves","6","9.29","5","1","2","640.16","0.94","592.36","1.00"
"woman","5","11.10","5","2","1","545.70","1.00","580.93","1.00"
"woman's","7","8.62","6","2","2","587.97","1.00","578.00","1.00"
"women","5","11.62","5","2","1","653.88","1.00","577.89","1.00"
"women's","7","9.40","6","2","2","632.32","0.94","636.78","1.00"
"wanting","7","9.47","6","2","2","683.13","0.94","653.04","1.00"
"wants","5","11.02","5","1","2","593.35","0.97","599.96","1.00"
"ward","4","10.10","4","1","1","669.09","0.94","579.30","1.00"
"ware","4","7.57","3","1","1","690.68","0.94","703.82","1.00"
"warehouse","9","8.41","6","2","2","717.76","1.00","640.85","1.00"
