"","wordlist","neg.avg","neg.sd","RT","RT.sd","avg.cor","avg.inc","Length","Freq_HAL","Log_Freq_HAL","NPhon","NSyll","NMorph","I_Mean_RT","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Mean_Accuracy","X","V.Mean.Sum","V.SD.Sum","V.Rat.Sum","A.Mean.Sum","A.SD.Sum","A.Rat.Sum","D.Mean.Sum","D.SD.Sum","D.Rat.Sum","V.Mean.M","V.SD.M","V.Rat.M","V.Mean.F","V.SD.F","V.Rat.F","A.Mean.M","A.SD.M","A.Rat.M","A.Mean.F","A.SD.F","A.Rat.F","D.Mean.M","D.SD.M","D.Rat.M","D.Mean.F","D.SD.F","D.Rat.F","V.Mean.Y","V.SD.Y","V.Rat.Y","V.Mean.O","V.SD.O","V.Rat.O","A.Mean.Y","A.SD.Y","A.Rat.Y","A.Mean.O","A.SD.O","A.Rat.O","D.Mean.Y","D.SD.Y","D.Rat.Y","D.Mean.O","D.SD.O","D.Rat.O","V.Mean.L","V.SD.L","V.Rat.L","V.Mean.H","V.SD.H","V.Rat.H","A.Mean.L","A.SD.L","A.Rat.L","A.Mean.H","A.SD.H","A.Rat.H","D.Mean.L","D.SD.L","D.Rat.L","D.Mean.H","D.SD.H","D.Rat.H","Val"
"349","LUNCHEON",0.450980392156863,0.500048531909845,886.375640331496,535.032884030912,0.549019607843137,0.450980392156863,"8","623","6.43","6","2","1","702.52","0.97","652.41","1","7285","7.19","1.78","21","4.12","2.35","25","5.41","2.13","22","7.62","1.3","8","6.92","2.02","13","4.54","2.33","13","3.67","2.39","12","5.62","1.98","13","5.11","2.42","9","8","1.2","8","6.83","1.95","12","4.71","2.2","14","3.36","2.42","11","5.25","2.01","12","5.6","2.37","10","7","2.21","10","7.36","1.36","11","4.06","2.46","17","4.25","2.25","8","4.6","2.41","10","6.08","1.68","12","POS"
"395","OPERATION",0.470588235294118,0.501599073714566,979.491119062587,530.271124695734,0.470588235294118,0.529411764705882,"9","28468","10.26","7","4","3","717","1","564.96","0.96","8435","2.94","1.8","18","5.71","2.92","21","3.78","1.86","18","3.12","1.89","8","2.8","1.81","10","4.86","3.53","7","6.14","2.6","14","3.82","2.23","11","3.71","1.25","7","3.18","1.83","11","2.57","1.81","7","6.33","3.77","9","5.25","2.14","12","3.82","2.04","11","3.71","1.7","7","2.67","1.67","12","3.5","2.07","6","5.75","3.57","12","5.67","1.94","9","4.33","2.29","9","3.22","1.2","9","NEG"
"402","OVERCOME",0.431372549019608,0.497713662195456,927.047207441206,344.567599871177,0,1,"8","7196","8.88","6","3","2","658.59","1","578.31","1","8563","6.81","1.89","21","5.75","2.38","24","6.32","2.46","22","6.88","1.73","8","6.77","2.05","13","6.85","2.23","13","4.45","1.92","11","6.15","2.23","13","6.56","2.88","9","7.25","1.75","8","6.92","1.51","12","6.36","1.55","14","4.9","3.11","10","6.67","2.19","12","5.9","2.81","10","6.7","2.26","10","6.91","1.58","11","5.88","2.64","17","5.43","1.72","7","6.7","2.87","10","6","2.13","12","AMB"
"419","PEST",0.57843137254902,0.49624879000384,2251.78333028221,14595.7660760189,0.57843137254902,0.42156862745098,"4","1075","6.98","4","1","1","658.91","1","608.11","1","8955","2.67","1.49","40","5.14","2.63","43","4.36","2.31","25","3","0.91","13","2.52","1.7","27","4.89","2.38","19","5.33","2.85","24","5","2.56","8","4.06","2.19","17","2.53","1.66","17","2.78","1.38","23","5.33","2.35","24","4.89","3","19","4.43","2.44","14","4.27","2.24","11","2.79","1.75","19","2.57","1.25","21","5.17","2.79","29","5.07","2.37","14","4.22","2.44","18","4.71","2.06","7","NEG"
"421","PICK",0.509803921568627,0.502372550000863,974.662547652072,439.106402321491,0,1,"4","45297","10.72","3","1","1","535.03","0.97","561.68","1","9018","5.91","1.41","22","3.62","2.25","21","5.94","1.83","18","6.17","1.83","6","5.87","1.3","15","2.86","2.34","7","4","2.18","14","5.22","1.39","9","6.88","2.03","8","5.71","1.44","14","6.43","1.4","7","3.89","2.71","9","3.42","1.93","12","5.9","1.85","10","6","1.93","8","5.93","1.59","14","5.88","1.13","8","4.5","2.81","6","3.27","1.98","15","6.3","2.06","10","5.5","1.51","8","AMB"
"425","PLAYER",0.441176470588235,0.498979739499495,967.552102922651,759.215345794996,0,1,"6","58218","10.97","4","1","2","535.47","1","555.78","0.96","9139","5.55","2.02","22","5.95","2.54","20","5.68","2.6","19","6.23","1.36","13","4.56","2.46","9","6.86","1.57","7","5.46","2.88","13","7.29","2.06","7","4.75","2.49","12","6","1.95","12","5","2.05","10","6.44","2.3","9","5.55","2.77","11","6.1","2.28","10","5.22","2.99","9","6.25","1.86","12","4.7","1.95","10","7","1.83","7","5.38","2.75","13","5.29","2.87","7","5.92","2.54","12","AMB"
"433","POP",0.490196078431373,0.502372550000863,906.71691584701,349.981290034512,0,1,"3","22982","10.04","3","1","1","562.42","1","563.93","1","9244","6.05","1.73","20","4.45","2.24","22","5.68","1.89","19","5.44","1.81","9","6.55","1.57","11","1.8","0.84","5","5.38","1.86","16","5.83","2.32","6","5.62","1.76","13","5.71","1.54","14","6.83","2.04","6","4.67","2.27","12","4.33","2.4","9","5.22","0.83","9","6.1","2.47","10","5.6","1.07","10","6.5","2.17","10","4.33","2.23","12","4.6","2.37","10","6","2.28","6","5.54","1.76","13","AMB"
"443","PRIZE",0.411764705882353,0.494583356537373,875.083041145408,1059.70790094695,0.588235294117647,0.411764705882353,"5","8217","9.01","4","1","1","592.22","0.94","575.15","1","9473","8","0.86","20","5.5","2.84","20","6.16","2.41","25","7","0","3","8.18","0.81","17","5.5","2.74","6","5.62","3.07","13","5.88","2.47","8","6.29","2.44","17","7.71","0.95","7","8.15","0.8","13","6.29","2.69","7","5.17","3.04","12","5.86","2.38","14","6.55","2.5","11","7.78","0.83","9","8.18","0.87","11","6.36","2.87","11","4.44","2.55","9","6.17","2.75","18","6.14","1.35","7","POS"
"447","PROWLER",0.598039215686274,0.492715328040957,989.917248667657,1120.89026796788,0.598039215686274,0.401960784313726,"7","228","5.43","5","2","2","753.03","0.94","661.23","1","9616","2.84","1.8","19","5.48","2.8","21","3.4","1.96","20","4.67","2.52","3","2.5","1.51","16","5.17","2.71","6","5.6","2.92","15","4.5","1.38","6","2.93","2.02","14","3.4","1.96","10","2.22","1.48","9","5.29","2.81","7","5.57","2.9","14","4.5","1.84","10","2.3","1.42","10","3.62","2.13","8","2.27","1.35","11","5","3.46","9","5.83","2.29","12","3.12","2.3","8","3.58","1.78","12","NEG"
"449","PUNCH",0.568627450980392,0.497713662195456,881.035298038356,398.213232735812,0,1,"5","9481","9.16","4","1","1","655.97","0.94","580.96","1","9681","3.27","2.07","22","5.8","2.82","20","5.26","2.83","19","3.92","2.4","13","2.33","1","9","6.71","2.21","7","5.31","3.07","13","5.71","3.25","7","5","2.66","12","3.75","2.42","12","2.7","1.49","10","5.56","2.7","9","6","3.03","11","4.6","3.1","10","6","2.45","9","3.42","2.23","12","3.1","1.97","10","5.71","2.43","7","5.85","3.11","13","5.86","2.85","7","4.92","2.87","12","AMB"
