Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
3,1571938401414,24/10/2019 17:33:21,1571938401549,-4,24/10/2019 13:33:21,10365,2,task-1ohd,,3243293,A1GKD3NG1NNHRP,899550,,complete,lxrgpn,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1098x618,1059x492,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,ACCEPT,,,,≥38,≥43,≥48,≥53,≥58,≤62,,,,,,,,,Orders 2 and 4,order2,,,,,,,,,,Continue,,Continue,order4,,,,,,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,48522,,,0,1,0,,,,,,
1,1571938560035,24/10/2019 17:36:00,1571938560975,-5,24/10/2019 12:36:00,10365,2,task-1ohd,,3243332,A3FAQHVPI8OUP0,899555,,complete,oqizwe,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x938,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order12,,,,order12,,,Continue,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1571938588430,24/10/2019 17:36:28,1571938589402,-5,24/10/2019 12:36:29,10365,2,task-1ohd,,3243332,A3FAQHVPI8OUP0,899555,,complete,oqizwe,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x938,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order12,,,,order12,,,Continue,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,28263,,,0,1,0,,,,,,IPANAT Instructions
3,1571938588618,24/10/2019 17:36:28,1571938589422,-5,24/10/2019 12:36:29,10365,2,task-1ohd,,3243332,A3FAQHVPI8OUP0,899555,,complete,oqizwe,,computer,Desktop or Laptop,Windows 10,Firefox 70.0,1920x1080,1920x938,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,,ACCEPT,,≥38,≥43,≥48,≥53,≥58,≥63,≥68,≤72,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 11 and 12,,,,,,,,,,,order12,,,,order12,,,Continue,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,28448,,,0,1,0,,,,,,
1,1571939921923,24/10/2019 17:58:41,1571939918665,-4,24/10/2019 13:58:38,10365,2,task-1ohd,,3243599,A354Y93R6A188M,899900,,complete,dbcprm,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 76.0.3809.132,1680x1050,1065x685,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order6,,,,,,,,,Continue,,,,order6,,,Continue,,,,,,,,,,,,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1571939929456,24/10/2019 17:58:49,1571939926227,-4,24/10/2019 13:58:46,10365,2,task-1ohd,,3243599,A354Y93R6A188M,899900,,complete,dbcprm,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 76.0.3809.132,1680x1050,1065x685,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order6,,,,,,,,,Continue,,,,order6,,,Continue,,,,,,,,,,,,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7530.844999942929,,,0,1,0,,,,,,IPANAT Instructions
3,1571939929908,24/10/2019 17:58:49,1571939926230,-4,24/10/2019 13:58:46,10365,2,task-1ohd,,3243599,A354Y93R6A188M,899900,,complete,dbcprm,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 76.0.3809.132,1680x1050,1065x685,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 5 and 6,,order6,,,,,,,,,Continue,,,,order6,,,Continue,,,,,,,,,,,,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,7565,,,0,1,0,,,,,,
1,1571940583936,24/10/2019 18:09:43,1571940584884,-4,24/10/2019 14:09:44,10365,2,task-1ohd,,3243713,AYYSG3O9FNU15,899906,,complete,rxglnt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order2,,,Continue,order4,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1571940815755,24/10/2019 18:13:35,1571940816481,-4,24/10/2019 14:13:36,10365,2,task-1ohd,,3243713,AYYSG3O9FNU15,899906,,complete,rxglnt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order2,,,Continue,order4,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,231557.01000000042,,,0,1,0,,,,,,IPANAT Instructions
3,1571940815926,24/10/2019 18:13:35,1571940816489,-4,24/10/2019 14:13:36,10365,2,task-1ohd,,3243713,AYYSG3O9FNU15,899906,,complete,rxglnt,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.120,1920x1080,1920x937,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,ACCEPT,,,,,,,,,≤37,,,,,,,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 2 and 4,,order2,,,Continue,order4,,,,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,231605,,,0,1,0,,,,,,
