Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,branch-9yk5,branch-v8wy,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,branch-gm4e,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,branch-h1nb,branch-5t3u,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,branch-9rgz,counterbalance-sg3w,branch-kzla,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,branch-kht5,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-ufjm,branch-qt1t,branch-1cbs,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
3,1570739963106,10/10/2019 20:39:23,1570739955150,-4,10/10/2019 16:39:15,9792,18,task-1ohd,,3175858,AENJ7GDYBENYX,879467,,complete,ojmauk,,computer,Desktop or Laptop,Windows Vista,Firefox 52.0,1152x864,1152x741,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,,,,,Orders 2 and 4,order4,,,,,,,,,,Continue,,Continue,order12,,,,,,,,,,,,,,,,,,,,,,,,,Continue,CDBEAF,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,30338,,,0,1,0,,,,,,
1,1570948630750,13/10/2019 06:37:10,1570948628529,-7,12/10/2019 23:37:08,9792,18,task-1ohd,,3185488,A2S591ZMEWMA5C,882276,,complete,rdacjw,,computer,Desktop or Laptop,Windows 8,Chrome 75.0.3770.100,1920x1080,1881x977,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order9,,,,,,,,Continue,order5,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1570948639407,13/10/2019 06:37:19,1570948637232,-7,12/10/2019 23:37:17,9792,18,task-1ohd,,3185488,A2S591ZMEWMA5C,882276,,complete,rdacjw,,computer,Desktop or Laptop,Windows 8,Chrome 75.0.3770.100,1920x1080,1881x977,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order9,,,,,,,,Continue,order5,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8654.015000007348,,,0,1,0,,,,,,IPANAT Instructions
3,1570948639610,13/10/2019 06:37:19,1570948637237,-7,12/10/2019 23:37:17,9792,18,task-1ohd,,3185488,A2S591ZMEWMA5C,882276,,complete,rdacjw,,computer,Desktop or Laptop,Windows 8,Chrome 75.0.3770.100,1920x1080,1881x977,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,ACCEPT,≤22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders 7 and 9,,,order9,,,,,,,,Continue,order5,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,Continue,DECFBA,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,8707,,,0,1,0,,,,,,
1,1570961493958,13/10/2019 10:11:33,1570961493784,-4,13/10/2019 06:11:33,9792,18,task-1ohd,,3185737,A2SQNS3J389FRJ,882355,,complete,xinbyo,,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 77.0.3865.90,1344x840,1249x701,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1570961496961,13/10/2019 10:11:36,1570961496855,-4,13/10/2019 06:11:36,9792,18,task-1ohd,,3185737,A2SQNS3J389FRJ,882355,,complete,xinbyo,,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 77.0.3865.90,1344x840,1249x701,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3024.054999999862,,,0,1,0,,,,,,IPANAT Instructions
3,1570961497117,13/10/2019 10:11:37,1570961496858,-4,13/10/2019 06:11:36,9792,18,task-1ohd,,3185737,A2SQNS3J389FRJ,882355,,complete,xinbyo,,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 77.0.3865.90,1344x840,1249x701,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,,,Continue,,,,,,,,,Orders 5 and 6,,,,,,,order5,order10,Continue,,,,,,,,,,Continue,EFDACB,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,3075,,,0,1,0,,,,,,
1,1570975402992,13/10/2019 14:03:22,1570975337602,-4,13/10/2019 10:02:17,9792,18,task-1ohd,,3186058,A15WQZ0GC5XSK,882456,,complete,mollum,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1366x625,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,
2,1570975439657,13/10/2019 14:03:59,1570975374267,-4,13/10/2019 10:02:54,9792,18,task-1ohd,,3186058,A15WQZ0GC5XSK,882456,,complete,mollum,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1366x625,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,35401.6100000008,,,0,1,0,,,,,,IPANAT Instructions
3,1570975439892,13/10/2019 14:03:59,1570975374323,-4,13/10/2019 10:02:54,9792,18,task-1ohd,,3186058,A15WQZ0GC5XSK,882456,,complete,mollum,,computer,Desktop or Laptop,Windows 10,Chrome 77.0.3865.90,1366x768,1366x625,approve with $2.15 bonus,IPANAT Instructions,1,words,English_Native,No_Psych,Responder,a_pos,18+,,≥23,≤27,ACCEPT,,,,,,,,,,,,,,,,,,,,,,,order1,,,Orders 1 and 3,,,,,,,Continue,,,order7,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continue,FAEBDC,Images loaded ok,approve with $2.15 bonus,,,END TASK,,,,,36721,,,0,1,0,,,,,,
